block_no,lot_no,capacity,lat_long1,lat_long2,lat_long3,lat_long4
Map Family F-4,19,0,"14.111570993381283, 121.55057442608097","14.111560588311447, 121.55058180215615","14.111570343064436, 121.55059923651564","14.111577496549687, 121.55058917823132"
Map Family F-4,20,1,"14.111588551935554, 121.55055363896003","14.111580748133825, 121.5505616855875","14.111597656370552, 121.55057979049927","14.111603509221439, 121.55057308497638"
Map Family F-4,21,1,"14.11161196333912, 121.55053620460053","14.111603509221439, 121.55054291012341","14.11161716587293, 121.5505603444829","14.111622368406614, 121.55055363896003"
Map Family F-4,22,1,"14.111628871573773, 121.55055900337635","14.111623018723536, 121.55056369724235","14.111634724423858, 121.55057911994498","14.111643828857037, 121.55057174386982"
Map Family F-4,23,1,"14.111608061438925, 121.55057777884042","14.111602858904922, 121.55058314325873","14.111615865239724, 121.55060258927509","14.111625619990333, 121.55059521319991"
Map Family F-4,24,1,"14.111589852569372, 121.55059588375221","14.111582699084503, 121.55060191872282","14.111594404786898, 121.55061801197775","14.111602208588153, 121.55061130645484"
Map Family F-4,25,1,"14.111569042430961, 121.55061264755943","14.11156123862856, 121.55062069418688","14.11157424496574, 121.55063946965096","14.111583349401323, 121.55063142302349"
Map Family F-4,26,1,"14.111561888945431, 121.55063410523265","14.111556686410372, 121.55063946965096","14.111565140529787, 121.5506481868307","14.111570343064665, 121.55064483406926"
Map Family F-4,27,1,"14.11155083355828, 121.55063477578496","14.111545631022967, 121.55064081075552","14.111556036093477, 121.55065690401047","14.111563839896055, 121.55065153959214"
Map Family F-4,28,1,"14.111528722782372, 121.55065221014445","14.111523520246541, 121.55066092732419","14.111535225951988, 121.55068037334057","14.11154368007219, 121.55066830339936"
Map Family F-4,29,0,"14.11154758197372, 121.5506716561608","14.11153717690283, 121.55068104389285","14.11154953292446, 121.55069579604319","14.11156123862856, 121.55068573775888"
Map Family F-4,30,1,"14.111569692747807, 121.55065288069675","14.11156058831169, 121.55066092732419","14.111569692747807, 121.55067903223598","14.111580748134054, 121.55067232671308"
Map Family F-4,31,0,"14.11157879718357, 121.55064483406926","14.111573594648908, 121.55065086903987","14.111587251302169, 121.5506662917425","14.111591153202962, 121.55066159787648"
Map Family F-4,32,1,"14.111587251302169, 121.55063678744182","14.111581398450863, 121.55064215186013","14.11159505510368, 121.55066025677192","14.111602208588153, 121.55065489235362"
Map Family F-4,33,1,"14.111606760805437, 121.55061398866401","14.111600257637859, 121.55062605860519","14.111615214922994, 121.55064215186013","14.111623669040243, 121.55063477578496"
Map Family F-4,34,1,"14.111628871573773, 121.55059856596135","14.111619767140008, 121.55060393037965","14.111631472840495, 121.55062471750063","14.111644479173666, 121.55061667087314"
Map Family F-4,35,0,"14.11164903139011, 121.55058046104958","14.11163667537386, 121.55058850767703","14.111652933289822, 121.55060527148426","14.111654884239659, 121.55059051933391"
Map Family F-4,36,0,"14.11166724025493, 121.55060191872282","14.1116574855061, 121.55061600032087","14.111672442787468, 121.55063075247122","14.11168219753566, 121.55061734142544"
Map Family F-4,37,1,"14.111648381073469, 121.55062203529147","14.111641227590441, 121.55062941136664","14.1116574855061, 121.55064617517384","14.111665939621771, 121.5506381285464"
